Dia,Acompanhamento,Guarnição,Prato Principal,Saladas,Vegetariano,Pagina,Arquivo
"quarta-feira, 4 de junho de 2025","Arroz Branco/arroz
colorido e Feijão Preto",Quirerinha temperada,Bife a tomatelli,"Alface com rabanete e Grão de bico com cenoura
cozida","Escondidinho de cabotiá
com proteína de soja",1,cardapio_junho.pdf
"quinta-feira, 5 de junho de 2025",Arroz Branco e Feijão Preto,"Batata doce
caramelada",Pernil grelhado,"Almeirão com cenoura e Repolho cozido
Fruta","Mini pizza de
abobrinha",1,cardapio_junho.pdf
"segunda-feira, 2 de junho de 2025",Arroz Branco e Feijão Preto,Aipim souté,Iscas suínas refogadas,Acelga com tomate picado e Beterraba cozida,Omelete de forno,1,cardapio_junho.pdf
"sexta-feira, 6 de junho de 2025",Arroz Branco e Feijão Preto,"Macarrão com ervas
finas",Frango assado,Alface com repolho e Abobrinha colorida e Abobrinha colorida,Ovo ao molho,1,cardapio_junho.pdf
"terça-feira, 3 de junho de 2025",Arroz Branco e Feijão Carioca,Espaguete ao molho sugo,Espetinho de frango,"Chicória com cenoura
ralada e Chuchu colorido
Fruta",Entreveiro de legumes,1,cardapio_junho.pdf
"quarta-feira, 11 de junho de 2025",Arroz Branco e Feijão carioca,Polenta com molho sugo,Peixe à milanesa (assado),Chicória com cebola e Vinagrete de lentilha,Gratinado de chuchu,2,cardapio_junho.pdf
"quinta-feira, 12 de junho de 2025",Arroz Branco e Feijão Preto,"Rigatone ao molho
branco",Bisteca suína a tricolor,"Alface com cenoura e Chuchu cozido
Fruta",Quibe vegano,2,cardapio_junho.pdf
"segunda-feira, 9 de junho de 2025",Arroz Branco e Feijão Preto,Legumes refogados,Bife acebolado,Acelga com pepino e Abobrinha vinagrete,Omelete,2,cardapio_junho.pdf
"sexta-feira, 13 de junho de 2025",Arroz Branco e Feijão Carioca,Batata rústica,Strogonoff de frango,Mix de folhas com e tomate e Mix grão,"Strogonoff de carne de
soja",2,cardapio_junho.pdf
"terça-feira, 10 de junho de 2025",Arroz Branco e Feijão Preto,Farofa colorida,Sobrecoxa assada,"Alface com repolho e Beterraba cozida
Fruta",Empada de legumes,2,cardapio_junho.pdf
,,,,,,3,cardapio_junho.pdf
"quinta-feira, 19 de junho de 2025",Arroz Branco e Feijão Preto,Aipim souté,Pernil grelhado,"Acelga com tomate e Grão de bico á vinagrete
Fruta","Cebola recheada com
legumes",3,cardapio_junho.pdf
"sexta-feira, 20 de junho de 2025",Arroz Branco e Feijão carioca,Purê de cabotiá,"Bife bovino ao molho
escuro",Chicória com cebola e Cenoura colorida cozida,Farofa de Legumes,3,cardapio_junho.pdf
"terça-feira, 17 de junho
de 2025 None",Arroz Branco e Feijão Preto,Espaguete ao molho sugo,Frango assado,Alface com cenoura e Lentilha com tomate,Ovo cozido,3,cardapio_junho.pdf
"quarta-feira, 25 de junho de 2025",Arroz Branco e Feijão Preto,Purê de batata,"Picado suíno ao molho
escuro",Alface com repolho e Beterraba cozida,Cuscuz vegano,4,cardapio_junho.pdf
"quinta-feira, 26 de junho de 2025",Arroz Branco e Feijão Preto,Farofa de legumes,Frango assado,"Chicória com cenoura e Tabule
Fruta",Torta de legumes,4,cardapio_junho.pdf
"segunda-feira, 23 de junho de 2025",Arroz Branco e Feijão Preto,"Macarrão ao molho caipira
(com milho, ervilha e frango)",Bife de pernil grelhado,Chicória com tomate e Repolho cozido,Mini pizza de abobrinha,4,cardapio_junho.pdf
"sexta-feira, 27 de junho de 2025",Arroz Branco e Feijão Preto,"Polenta ao molho
tomatelli",Bife acebolado,Mix de folhas e Grão de bico com e cenoura cozida,Ovo cozido ao molho,4,cardapio_junho.pdf
"terça-feira, 24 de junho de 2025",Arroz Branco e Feijão Carioca,Batata doce assada,Frango ao molho caipira,"Alface com rabanete e Abobrinha a vinagrete
Fruta",Trouxinha de legumes,4,cardapio_junho.pdf
